"Household final consumption expenditure, quarterly, Canada (x 1,000,000) 1"
"Frequency: Quarterly"
"Table: 36-10-0107-01 (formerly CANSIM 380-0067)"
"Release date: 2023-05-31"
"Geography: Canada"
""
""

"Prices","Chained (2012) dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Seasonal adjustment","Seasonally adjusted at annual rates",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Geography","Canada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Estimates","Q1 1961","Q2 1961","Q3 1961","Q4 1961","Q1 1962","Q2 1962","Q3 1962","Q4 1962","Q1 1963","Q2 1963","Q3 1963","Q4 1963","Q1 1964","Q2 1964","Q3 1964","Q4 1964","Q1 1965","Q2 1965","Q3 1965","Q4 1965","Q1 1966","Q2 1966","Q3 1966","Q4 1966","Q1 1967","Q2 1967","Q3 1967","Q4 1967","Q1 1968","Q2 1968","Q3 1968","Q4 1968","Q1 1969","Q2 1969","Q3 1969","Q4 1969","Q1 1970","Q2 1970","Q3 1970","Q4 1970","Q1 1971","Q2 1971","Q3 1971","Q4 1971","Q1 1972","Q2 1972","Q3 1972","Q4 1972","Q1 1973","Q2 1973","Q3 1973","Q4 1973","Q1 1974","Q2 1974","Q3 1974","Q4 1974","Q1 1975","Q2 1975","Q3 1975","Q4 1975","Q1 1976","Q2 1976","Q3 1976","Q4 1976","Q1 1977","Q2 1977","Q3 1977","Q4 1977","Q1 1978","Q2 1978","Q3 1978","Q4 1978","Q1 1979","Q2 1979","Q3 1979","Q4 1979","Q1 1980","Q2 1980","Q3 1980","Q4 1980","Q1 1981","Q2 1981","Q3 1981","Q4 1981","Q1 1982","Q2 1982","Q3 1982","Q4 1982","Q1 1983","Q2 1983","Q3 1983","Q4 1983","Q1 1984","Q2 1984","Q3 1984","Q4 1984","Q1 1985","Q2 1985","Q3 1985","Q4 1985","Q1 1986","Q2 1986","Q3 1986","Q4 1986","Q1 1987","Q2 1987","Q3 1987","Q4 1987","Q1 1988","Q2 1988","Q3 1988","Q4 1988","Q1 1989","Q2 1989","Q3 1989","Q4 1989","Q1 1990","Q2 1990","Q3 1990","Q4 1990","Q1 1991","Q2 1991","Q3 1991","Q4 1991","Q1 1992","Q2 1992","Q3 1992","Q4 1992","Q1 1993","Q2 1993","Q3 1993","Q4 1993","Q1 1994","Q2 1994","Q3 1994","Q4 1994","Q1 1995","Q2 1995","Q3 1995","Q4 1995","Q1 1996","Q2 1996","Q3 1996","Q4 1996","Q1 1997","Q2 1997","Q3 1997","Q4 1997","Q1 1998","Q2 1998","Q3 1998","Q4 1998","Q1 1999","Q2 1999","Q3 1999","Q4 1999","Q1 2000","Q2 2000","Q3 2000","Q4 2000","Q1 2001","Q2 2001","Q3 2001","Q4 2001","Q1 2002","Q2 2002","Q3 2002","Q4 2002","Q1 2003","Q2 2003","Q3 2003","Q4 2003","Q1 2004","Q2 2004","Q3 2004","Q4 2004","Q1 2005","Q2 2005","Q3 2005","Q4 2005","Q1 2006","Q2 2006","Q3 2006","Q4 2006","Q1 2007","Q2 2007","Q3 2007","Q4 2007","Q1 2008","Q2 2008","Q3 2008","Q4 2008","Q1 2009","Q2 2009","Q3 2009","Q4 2009","Q1 2010","Q2 2010","Q3 2010","Q4 2010","Q1 2011","Q2 2011","Q3 2011","Q4 2011","Q1 2012","Q2 2012","Q3 2012","Q4 2012","Q1 2013","Q2 2013","Q3 2013","Q4 2013","Q1 2014","Q2 2014","Q3 2014","Q4 2014","Q1 2015","Q2 2015","Q3 2015","Q4 2015","Q1 2016","Q2 2016","Q3 2016","Q4 2016","Q1 2017","Q2 2017","Q3 2017","Q4 2017","Q1 2018","Q2 2018","Q3 2018","Q4 2018","Q1 2019","Q2 2019","Q3 2019","Q4 2019","Q1 2020","Q2 2020","Q3 2020","Q4 2020","Q1 2021","Q2 2021","Q3 2021","Q4 2021","Q1 2022","Q2 2022","Q3 2022","Q4 2022","Q1 2023"
"Footwear  [C132]","1,595","1,578","1,595","1,532","1,611","1,661","1,644","1,661","1,628","1,711","1,678","1,694","1,694","1,661","1,694","1,732","1,644","1,732","1,765","1,781","1,794","1,748","1,715","1,736","1,752","1,786","1,815","1,769","1,786","1,786","1,802","1,786","1,819","1,835","1,815","1,864","1,835","1,815","1,856","1,923","1,798","1,884","1,931","2,026","1,931","2,038","2,002","2,017","2,100","1,993","2,068","2,068","2,162","2,186","2,248","2,174","2,272","2,307","2,379","2,370","2,429","2,550","2,527","2,539","2,601","2,423","2,533","2,595","2,583","2,621","2,678","2,693","2,802","2,796","2,805","2,764","2,693","2,752","2,761","2,767","2,891","2,810","2,816","2,839","2,624","2,630","2,630","2,583","2,647","2,659","2,688","2,729","2,798","2,885","2,862","2,920","2,880","2,967","3,036","3,158","3,107","3,252","3,232","3,192","3,262","3,237","3,247","3,292","3,207","3,222","3,302","3,322","3,157","3,247","3,267","3,267","3,322","3,197","3,187","3,137","2,877","3,017","2,992","2,957","2,916","2,971","3,068","2,990","3,064","3,087","3,142","3,006","3,165","3,157","3,224","3,122","3,169","3,282","3,263","3,138","3,052","3,150","3,239","3,204","3,127","3,173","3,311","3,314","3,410","3,421","3,356","3,303","3,410","3,463","3,494","3,372","3,563","3,547","3,689","3,631","3,651","3,830","3,819","3,857","3,971","3,960","3,904","4,024","4,065","4,054","4,072","4,132","4,226","4,215","4,234","4,207","4,301","4,425","4,395","4,489","4,684","4,710","4,860","4,864","4,978","4,951","5,067","5,149","5,059","5,188","5,266","5,293","5,250","5,215","5,269","5,347","5,553","5,495","5,577","5,693","5,791","5,798","5,884","5,845","6,028","6,036","6,100","6,196","6,296","6,264","6,392","6,592","6,380","6,664","6,844","7,040","6,904","7,096","7,176","7,388","7,512","7,256","7,376","7,536","7,612","7,868","7,780","7,832","7,944","7,980","8,004","7,920","7,924","7,908","7,952","7,936","6,688","5,100","7,692","7,348","6,920","6,456","8,516","8,464","8,088","8,712","8,644","8,876","8,800"
"Housing, water, electricity, gas and other fuels  [C14]","60,542","61,857","62,312","62,413","63,652","63,210","64,057","64,575","65,435","65,460","66,838","66,775","67,395","68,558","68,798","70,000","70,392","71,036","71,011","72,073","72,136","73,047","73,806","74,021","74,994","75,740","75,791","76,688","77,725","77,435","79,015","79,331","80,065","80,773","82,126","82,770","83,036","84,174","84,983","86,071","86,437","86,723","87,566","87,749","88,655","88,305","88,098","89,124","87,749","88,067","89,656","89,410","89,966","90,634","89,163","91,564","90,959","92,056","91,333","90,761","92,080","92,477","92,859","94,170","93,193","93,058","94,234","94,170","94,512","94,671","95,108","95,291","95,744","96,268","96,467","96,253","97,238","97,262","98,367","98,772","97,699","97,321","100,198","99,539","100,904","101,050","101,710","100,011","99,917","101,656","101,546","104,406","103,729","104,362","103,444","105,367","106,417","106,013","107,599","108,771","108,369","109,228","110,962","111,828","111,525","113,527","115,207","115,583","118,106","119,288","121,040","122,894","124,283","125,469","126,223","128,825","128,680","130,632","131,892","132,594","133,072","134,170","135,538","136,037","136,825","137,891","138,237","140,111","141,202","141,661","143,019","144,550","146,206","145,525","145,955","146,544","147,416","148,306","149,087","149,852","150,909","151,945","152,530","153,430","153,678","154,988","155,048","155,179","155,204","156,177","157,492","157,858","159,251","160,377","161,451","161,477","162,949","164,494","165,800","167,166","167,062","167,415","168,144","168,525","170,691","173,017","173,796","176,385","177,607","178,488","180,141","181,110","182,876","183,736","185,779","187,944","189,132","190,263","192,145","192,822","193,747","195,351","197,426","198,169","200,970","203,061","204,521","206,456","207,798","209,072","211,002","212,456","214,071","214,961","216,288","218,176","218,884","220,242","222,991","224,287","226,034","228,038","229,819","229,591","231,054","232,534","234,403","236,813","237,829","239,543","241,606","244,336","246,346","246,965","248,040","250,118","253,448","253,674","255,422","256,937","258,386","260,276","262,193","263,687","265,518","268,073","270,164","272,045","274,261","276,281","278,432","280,180","281,776","282,747","284,574","286,657","288,116","290,125","292,412","294,439","296,587","298,777","300,759","301,954","305,470","306,286","308,005","309,249","310,225"
"Paid rental fees for housing  [C141]","12,531","12,576","12,800","12,979","13,023","13,147","13,281","13,326","13,449","13,583","13,706","13,885","13,974","14,187","14,366","14,534","14,724","14,993","15,116","15,295","15,552","15,776","15,910","16,067","16,380","16,425","16,548","16,839","17,029","17,230","17,488","17,689","17,980","18,181","18,461","18,841","19,278","19,692","19,938","19,994","20,106","20,263","20,283","20,365","20,351","20,399","20,447","20,385","20,399","20,235","20,167","20,058","20,092","20,085","20,092","20,099","20,106","19,956","19,888","19,724","19,676","19,608","19,574","19,513","19,526","19,574","19,697","19,799","19,881","19,901","20,044","20,126","20,242","20,365","20,488","20,590","20,733","20,890","20,958","21,081","21,258","21,478","21,679","21,870","22,080","22,252","22,395","22,567","22,663","22,749","22,845","22,931","23,026","23,122","23,227","23,351","23,476","23,542","23,648","23,753","23,853","24,065","24,250","24,469","24,695","24,948","25,201","25,461","25,694","25,934","26,173","26,434","26,666","26,920","27,180","27,447","27,789","28,056","28,351","28,590","28,802","29,022","29,186","29,336","29,541","29,764","29,922","30,097","30,309","30,473","30,643","30,807","30,923","31,077","31,246","31,421","31,591","31,660","31,702","31,744","31,919","32,083","32,284","32,470","32,651","32,828","33,031","33,218","33,356","33,509","33,657","33,879","34,096","34,278","34,421","34,648","34,766","34,939","35,156","35,309","35,481","35,644","35,866","36,117","36,377","36,696","37,010","37,236","37,522","37,841","38,169","38,524","38,820","39,069","39,342","39,619","39,882","40,136","40,409","40,700","41,069","41,383","41,693","41,979","42,302","42,629","42,942","43,243","43,569","43,930","44,299","44,720","45,098","45,476","45,798","46,159","46,520","46,872","47,314","47,653","47,980","48,332","48,654","48,946","49,355","49,647","50,019","50,375","50,740","51,180","51,564","51,992","52,372","52,756","53,148","53,608","54,136","54,580","55,024","55,444","55,904","56,380","56,872","57,336","57,820","58,268","58,704","59,084","59,592","60,064","60,528","61,004","61,340","61,776","62,252","62,776","63,220","63,588","64,100","64,740","65,332","65,924","66,444","67,048","67,516","68,028","68,532","68,996","69,364"
"Imputed rental fees for housing  [C142]","34,880","35,043","35,260","35,532","35,695","35,912","36,184","36,455","36,673","36,836","37,053","37,325","37,596","37,922","38,085","38,302","38,574","38,846","39,117","39,335","39,552","39,824","40,095","40,367","40,584","40,802","41,073","41,291","41,617","41,943","42,214","42,486","42,812","43,192","43,627","43,953","44,061","44,279","44,550","45,039","45,583","45,705","45,766","45,858","45,888","45,858","45,858","45,888","45,949","46,072","46,225","46,347","46,500","46,653","46,775","46,928","47,172","47,478","47,784","48,120","48,395","48,640","48,915","49,160","49,343","49,435","49,526","49,588","49,679","49,802","49,893","50,016","50,138","50,291","50,444","50,627","50,841","51,024","51,177","51,361","51,483","51,839","52,177","52,533","52,879","53,208","53,473","53,728","54,029","54,358","54,769","55,207","55,626","56,055","56,475","56,895","57,333","57,771","58,218","58,693","59,023","59,631","60,232","60,905","61,624","62,363","63,167","64,017","64,879","65,782","66,644","67,507","68,337","69,108","69,912","70,756","71,632","72,520","73,364","74,141","74,854","75,442","76,096","76,769","77,422","78,128","78,729","79,373","79,996","80,681","81,345","82,010","82,638","83,271","83,946","84,600","85,149","85,683","86,101","86,494","87,038","87,519","88,063","88,618","89,131","89,691","90,367","91,038","91,553","92,107","92,569","93,051","93,697","94,242","94,782","95,409","96,158","96,873","97,631","98,307","98,910","99,674","100,520","101,400","102,337","103,284","104,355","105,206","106,112","107,137","108,180","109,183","110,309","111,371","112,525","113,747","114,855","115,977","117,062","118,198","119,420","120,574","121,737","122,827","124,053","125,255","126,479","127,750","128,978","130,219","131,464","132,649","133,761","134,873","135,857","136,960","138,188","139,408","140,666","141,894","142,985","144,153","145,299","146,424","147,612","148,800","150,044","151,268","152,496","153,804","155,072","156,360","157,548","158,716","160,028","161,380","162,724","163,968","165,188","166,416","167,624","168,820","169,988","171,248","172,496","173,824","175,132","176,464","177,740","179,008","180,240","181,400","182,532","183,636","184,832","185,972","187,044","188,072","189,356","190,700","192,112","193,720","195,016","196,244","197,584","198,860","199,980","201,072","202,036"
"Maintenance and repair of the dwelling  [C143]","483","483","483","483","475","507","532","483","491","507","540","548","572","572","604","596","596","596","612","612","644","604","652","636","685","661","661","669","701","677","725","717","717","749","789","789","765","765","725","749","717","738","748","795","785","822","848","842","884","895","916","931","994","994","979","1,099","1,141","1,188","1,209","1,214","1,266","1,287","1,282","1,277","1,282","1,261","1,282","1,293","1,308","1,303","1,340","1,366","1,376","1,340","1,413","1,497","1,497","1,476","1,497","1,512","1,528","1,493","1,424","1,415","1,450","1,441","1,415","1,415","1,415","1,381","1,416","1,424","1,407","1,416","1,442","1,432","1,432","1,458","1,493","1,562","1,552","1,600","1,647","1,694","1,646","1,673","1,714","1,721","1,695","1,715","1,742","1,775","1,803","1,783","1,783","1,769","1,790","1,769","1,763","1,730","1,656","1,724","1,665","1,658","1,656","1,690","1,700","1,739","1,762","1,812","1,851","1,835","1,885","1,973","1,979","2,051","1,991","1,963","1,952","1,968","2,059","2,025","2,002","2,014","2,111","2,100","2,089","2,116","2,166","2,166","2,155","2,193","2,260","2,270","2,292","2,293","2,315","2,332","2,381","2,392","2,381","2,397","2,380","2,424","2,386","2,444","2,487","2,535","2,525","2,525","2,520","2,506","2,511","2,592","2,678","2,669","2,711","2,755","2,750","2,774","2,874","2,935","2,974","2,979","3,010","3,058","3,115","3,146","3,189","3,220","3,250","3,063","2,924","2,985","2,981","3,024","3,089","3,033","3,016","3,024","3,042","3,011","3,003","3,047","3,040","2,988","2,988","2,996","3,012","2,952","3,028","2,956","3,008","2,992","3,072","3,084","3,120","3,176","3,152","3,148","3,200","3,168","3,176","3,228","3,228","3,268","3,380","3,412","3,372","3,356","3,303","3,324","3,308","3,376","3,400","3,307","3,425","3,510","3,949","4,045","4,355","4,023","3,798","4,019","4,233","4,025","3,935","3,735","3,587"
"Water supply and sanitation services  [C144]","1,165","1,165","1,217","1,165","1,165","1,217","1,217","1,217","1,323","1,376","1,482","1,535","1,535","1,535","1,535","1,588","1,588","1,694","1,641","1,694","1,694","1,694","1,747","1,800","1,853","1,800","1,906","1,906","2,011","2,064","2,011","1,959","1,959","1,959","1,906","1,906","1,906","1,906","1,906","2,064","2,170","2,170","2,215","2,215","2,215","2,261","2,306","2,396","2,487","2,532","2,622","2,577","2,532","2,668","2,622","2,758","2,803","2,848","2,894","2,803","2,894","2,984","3,075","3,075","3,029","2,894","2,894","2,984","2,984","3,075","3,075","3,075","3,075","3,120","3,075","3,029","3,075","3,075","3,120","3,165","3,391","3,497","3,539","3,602","3,602","3,665","3,560","3,581","3,644","3,644","3,707","3,728","3,665","3,686","3,707","3,686","3,665","3,644","3,665","3,749","3,751","3,838","3,897","3,911","4,100","4,100","4,100","4,173","4,289","4,246","4,289","4,406","4,580","4,667","4,595","4,347","4,522","4,595","4,711","4,725","4,624","4,522","4,420","4,420","4,347","4,307","4,288","4,258","4,268","4,229","4,249","4,268","4,307","4,337","4,366","4,396","4,415","4,445","4,415","4,396","4,425","4,425","4,435","4,464","4,487","4,503","4,519","4,536","4,626","4,708","4,789","4,847","4,880","4,904","4,920","4,929","5,002","5,043","5,068","5,101","5,141","5,174","5,207","5,232","5,246","5,268","5,297","5,304","5,311","5,304","5,297","5,304","5,311","5,332","5,354","5,397","5,440","5,476","5,519","5,547","5,590","5,612","5,633","5,641","5,635","5,629","5,624","5,624","5,646","5,657","5,712","5,717","5,712","5,717","5,728","5,695","5,717","5,734","5,761","5,750","5,783","5,789","5,761","5,756","5,788","5,816","5,832","5,856","5,892","5,912","5,952","5,956","5,964","6,004","6,044","6,092","6,120","6,168","6,220","6,276","6,320","6,332","6,360","6,396","6,464","6,520","6,576","6,624","6,676","6,728","6,768","6,808","6,860","6,872","6,960","7,008","7,044","7,156","7,204","7,260","7,336","7,392","7,460","7,492","7,600","7,676","7,676","7,704","7,748"
"Electricity, gas and other fuels  [C145]","12,768","13,948","13,894","13,573","14,699","13,733","14,163","14,485","14,914","14,538","15,557","14,860","15,128","15,812","15,625","16,537","16,416","16,416","15,893","16,630","16,000","16,563","16,845","16,510","16,885","17,596","17,019","17,435","17,931","16,751","18,106","17,904","17,985","18,039","18,830","18,615","18,173","18,803","19,232","19,769","19,246","19,163","20,211","20,094","21,448","20,753","20,259","21,802","19,387","19,929","22,072","21,719","22,131","22,767","20,518","23,392","21,978","23,238","21,754","20,753","22,131","22,332","22,461","24,087","22,414","22,155","23,450","23,026","23,215","23,168","23,368","23,262","23,533","23,910","23,662","22,779","23,615","23,144","24,334","24,369","22,308","20,962","24,071","22,448","23,392","22,891","23,275","20,598","19,926","21,581","20,702","23,540","22,091","22,166","20,301","21,991","22,565","21,394","22,573","23,126","22,072","21,941","23,016","22,824","20,998","22,225","22,905","21,754","23,528","23,469","24,180","24,947","25,129","25,209","24,695","26,896","24,677","25,643","25,617","25,121","24,624","24,917","25,715","25,241","25,140","25,232","24,653","25,904","26,135","25,555","26,092","26,916","27,908","25,905","25,302","24,843","25,040","25,371","25,786","26,173","26,427","26,923","26,679","26,794","26,058","26,728","25,641","24,622","23,654","23,878","24,671","24,108","24,612","25,034","25,437","24,363","24,960","25,646","25,913","26,450","25,416","24,722","24,337","23,438","24,512","25,600","24,778","26,364","26,371","25,856","26,135","25,701","26,024","25,421","25,930","26,568","26,294","25,969","26,452","25,677","24,926","24,982","25,505","24,872","26,081","26,585","26,453","26,774","26,501","26,151","26,384","26,415","26,674","25,987","25,986","26,407","25,366","25,175","26,223","25,950","26,228","26,736","27,082","25,412","25,258","25,282","25,520","26,320","25,694","25,703","25,998","27,068","27,447","26,553","25,862","26,070","27,410","25,911","25,971","25,798","25,495","25,740","25,965","25,666","25,702","26,373","26,548","26,636","27,063","27,310","27,790","27,841","27,933","27,275","27,308","27,783","27,560","27,973","27,956","27,833","27,560","27,842","28,172","27,300","28,634","27,844","28,043","27,942","27,719"
"Furnishings, household equipment and other goods and services related to the dwelling and property  [C15]","8,037","8,224","8,328","8,475","8,532","8,779","8,571","8,779","8,636","8,931","9,091","9,226","9,421","9,395","9,690","9,581","9,603","9,833","10,080","10,080","10,848","10,275","10,644","10,748","10,518","11,316","11,230","11,243","11,212","11,650","11,872","11,685","12,245","11,997","11,924","12,657","12,370","12,462","12,535","12,739","12,444","12,915","13,565","14,352","14,177","14,683","15,214","15,628","16,345","16,858","17,326","18,331","19,339","19,241","18,742","18,499","19,153","19,146","19,652","19,986","19,926","20,457","20,517","20,622","20,576","20,274","20,552","20,576","20,636","21,258","21,487","21,567","22,263","22,052","22,625","22,780","22,759","22,615","23,230","23,391","23,553","23,552","21,939","21,808","21,073","20,491","20,257","20,810","21,123","21,439","22,502","21,807","22,603","22,984","23,102","23,470","23,376","23,755","24,561","25,402","25,243","25,849","26,246","26,427","26,439","26,795","27,288","27,661","27,998","28,131","28,381","28,703","29,082","29,179","28,862","28,186","29,298","28,813","28,456","28,290","26,353","27,148","26,767","26,744","26,707","26,896","26,957","27,267","27,574","27,593","27,813","27,829","28,565","28,944","29,150","29,807","29,598","29,235","29,397","29,025","29,499","29,360","29,371","29,908","30,629","31,036","31,461","31,462","32,363","32,524","32,628","32,946","33,260","33,500","34,122","34,161","34,936","35,295","35,750","35,984","36,774","36,822","36,987","37,903","38,730","39,123","39,094","39,956","40,370","40,758","41,162","41,480","42,537","42,874","43,615","43,808","44,544","45,059","45,219","45,865","47,231","48,123","48,812","49,369","50,177","50,657","51,099","52,004","52,500","52,936","53,628","52,233","50,951","50,748","51,417","52,179","53,286","52,911","52,488","52,902","52,637","53,300","53,311","53,687","53,840","53,444","53,484","53,632","54,272","54,483","55,088","55,202","55,450","56,737","57,503","57,470","57,396","57,464","57,673","58,282","58,612","58,529","58,599","59,433","60,504","61,545","61,777","62,394","62,885","63,767","63,907","63,484","64,252","65,318","65,461","66,139","65,518","61,698","71,779","73,210","74,930","71,332","72,386","72,794","73,326","71,339","68,677","68,276","68,777"
"Furniture, furnishings, carpets and other floor coverings  [C151]","1,796","1,852","1,880","1,866","1,932","1,928","1,925","1,981","1,939","2,043","2,085","2,095","2,196","2,182","2,207","2,231","2,297","2,297","2,381","2,440","2,687","2,478","2,638","2,638","2,600","2,830","2,788","2,774","2,718","2,840","2,858","2,861","2,941","2,938","2,886","3,275","3,126","3,070","3,119","3,105","3,011","3,213","3,427","3,696","3,612","3,839","4,002","4,247","4,418","4,654","4,775","5,095","5,449","5,395","5,154","5,058","5,235","5,204","5,446","5,522","5,398","5,530","5,564","5,547","5,570","5,497","5,525","5,516","5,454","5,789","5,890","5,901","6,207","5,943","6,190","6,193","6,199","6,075","6,384","6,499","6,620","6,608","5,738","5,628","5,244","5,062","4,980","5,261","5,284","5,458","5,844","5,441","5,679","5,802","5,843","5,988","5,836","5,910","6,067","6,340","6,628","6,759","6,885","6,872","7,002","7,077","7,207","7,234","7,507","7,394","7,380","7,488","7,726","7,787","7,716","7,469","7,824","7,646","7,426","7,547","6,592","6,911","6,814","6,632","6,534","6,538","6,397","6,456","6,590","6,538","6,567","6,547","6,744","6,836","6,831","6,954","7,025","6,895","6,955","6,855","6,915","6,904","6,926","7,151","7,453","7,564","7,702","7,711","8,023","8,030","8,022","8,134","8,307","8,394","8,643","8,656","8,931","9,108","9,204","9,274","9,688","9,578","9,682","9,968","10,248","10,303","10,313","10,749","10,753","10,789","10,957","11,061","11,466","11,514","11,821","11,899","12,146","12,234","12,160","12,476","13,079","13,323","13,498","13,699","13,985","14,163","14,263","14,522","14,678","14,771","14,963","14,315","13,634","13,530","14,047","14,425","15,020","14,685","14,425","14,614","14,489","15,129","15,051","15,147","15,316","15,156","15,112","15,056","15,320","15,308","15,102","15,119","15,262","16,284","16,528","16,556","16,356","16,553","16,745","17,066","17,250","17,294","17,034","17,510","17,890","17,974","18,158","18,514","18,834","19,098","19,345","19,041","19,436","19,761","20,315","20,341","19,537","19,478","23,569","24,061","24,040","23,775","23,657","23,387","22,845","22,289","20,965","20,685","21,017"
"Household textiles  [C152]","295","295","282","269","289","302","309","295","282","302","302","329","309","336","336","322","349","349","336","346","396","403","390","396","403","457","450","437","423","457","484","443","470","484","470","484","490","527","514","537","531","542","564","621","612","649","680","686","708","739","748","861","911","945","923","895","897","889","911","962","1,019","1,112","1,129","1,134","1,084","1,041","1,024","1,024","1,075","1,098","1,117","1,143","1,199","1,250","1,290","1,312","1,343","1,323","1,363","1,363","1,363","1,321","1,279","1,249","1,237","1,219","1,200","1,249","1,327","1,345","1,393","1,375","1,418","1,442","1,436","1,448","1,442","1,430","1,508","1,550","1,461","1,568","1,603","1,623","1,558","1,573","1,603","1,623","1,638","1,628","1,654","1,684","1,704","1,719","1,709","1,659","1,765","1,719","1,674","1,664","1,649","1,684","1,659","1,659","1,655","1,630","1,655","1,685","1,689","1,689","1,701","1,714","1,811","1,811","1,857","1,928","1,861","1,874","1,928","1,924","1,945","1,932","1,911","1,937","1,910","1,986","2,026","2,048","2,088","2,074","2,048","2,079","2,012","2,026","2,088","2,057","2,088","2,123","2,168","2,190","2,257","2,265","2,261","2,261","2,414","2,382","2,324","2,390","2,455","2,472","2,488","2,484","2,545","2,516","2,512","2,508","2,537","2,586","2,590","2,598","2,676","2,770","2,798","2,835","2,874","2,921","2,981","2,989","2,993","3,052","3,096","2,985","2,874","2,898","2,902","2,937","3,045","3,064","3,025","3,068","3,017","3,017","3,017","3,080","3,088","3,056","3,144","3,168","3,116","3,088","3,084","3,140","3,196","3,300","3,316","3,336","3,388","3,348","3,372","3,380","3,392","3,388","3,340","3,348","3,392","3,464","3,504","3,536","3,556","3,548","3,588","3,476","3,568","3,640","3,588","3,496","3,168","3,004","3,872","3,792","3,844","3,448","3,812","3,876","3,796","3,532","3,292","3,312","3,244"
"Household appliances  [C153]","443","481","441","525","527","538","500","567","565","583","585","592","622","610","670","637","622","682","684","690","756","699","711","749","692","792","787","802","809","878","879","841","896","891","884","903","868","909","948","965","879","921","969","1,044","1,044","1,060","1,120","1,156","1,189","1,235","1,298","1,379","1,469","1,455","1,407","1,434","1,498","1,494","1,575","1,568","1,554","1,609","1,599","1,606","1,594","1,582","1,621","1,613","1,666","1,719","1,736","1,712","1,773","1,767","1,827","1,872","1,874","1,886","1,955","1,984","1,958","2,072","1,881","1,898","1,801","1,720","1,691","1,768","1,785","1,878","2,053","1,992","2,128","2,170","2,204","2,268","2,277","2,358","2,486","2,619","2,559","2,610","2,633","2,668","2,651","2,677","2,728","2,793","2,833","2,903","2,954","2,969","3,019","2,997","2,939","2,829","2,836","2,744","2,730","2,717","2,431","2,645","2,670","2,702","2,727","2,769","2,818","2,860","2,887","2,849","2,894","2,846","2,874","2,951","2,937","3,062","3,031","2,950","2,943","2,890","2,947","2,918","2,961","3,051","3,122","3,206","3,272","3,280","3,387","3,411","3,471","3,525","3,606","3,630","3,704","3,745","3,807","3,873","3,895","3,891","4,009","4,044","4,054","4,245","4,321","4,442","4,408","4,501","4,533","4,636","4,729","4,770","4,881","4,874","5,018","4,957","5,129","5,241","5,284","5,413","5,634","5,737","5,873","5,940","6,116","6,185","6,311","6,498","6,635","6,711","6,899","6,787","6,632","6,612","6,773","6,940","6,907","6,800","6,786","6,960","6,942","7,014","6,947","6,993","6,996","6,960","6,992","7,076","7,268","7,440","7,569","7,557","7,769","7,849","7,923","7,724","7,780","7,632","7,559","7,700","7,776","7,777","8,010","8,049","8,442","8,654","8,611","8,927","9,002","9,087","9,135","9,359","8,843","9,152","9,160","9,389","9,977","10,741","12,150","12,810","12,757","12,044","11,621","11,441","11,413","11,096","10,543","10,598","10,422"
